Group,ICA,Timescale
young,CC_2,1.599732664645257
young,CC_3,2.3310236176277264
young,CC_4,4.295554295995529
young,CC_5,4.1724984577300726
young,CC_6,4.374161151448108
young,CC_7,2.458175001891377
young,CC_8,0.9870977642739605
young,CC_9,2.7179612355585414
young,CC_10,2.8956187496850396
young,CC_11,3.286618269242215
young,CC_12,0.9016899139208635
young,CC_13,3.089686911914486
young,CC_14,4.264717394863921
young,CC_15,1.4368513275729027
young,CC_16,3.102148517651954
young,CC_17,1.8893841888676144
young,CC_18,3.701592802638786
young,AUD_1,1.623673387652737
young,AUD_2,3.617455676921782
young,AUD_3,0.8624087329450674
young,AUD_4,2.4702492369203566
young,AUD_5,1.729170908905461
young,AUD_6,4.345526728563281
young,DMN_1,0.9704639506535546
young,DMN_2,2.370314696870351
young,DMN_3,3.0796732501103934
young,DMN_4,4.474430209123993
young,DMN_5,3.3658842636648534
young,DMN_6,2.2394378624736873
young,DMN_7,0.42985763120761455
young,DMN_8,1.6954986750528294
young,DMN_9,0.9677712739416059
young,DMN_10,2.520676099078641
young,DMN_11,2.2976540464457247
